Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
ABCA3,0,UNC80,1,0.912,Pathway,Transmembrane transport of small molecules
ABCA3,0,GNB1,1,0.912,Pathway,Transmembrane transport of small molecules
ABCA3,0,ATP6V1G1,0,0.911,Pathway,Transmembrane transport of small molecules
ABCA3,0,ATP10D,0,0.904,Pathway,Transmembrane transport of small molecules
ABCA3,0,RANBP2,1,0.902,Pathway,Transmembrane transport of small molecules
ABCA3,0,SLC6A2,0,0.902,Pathway,Transmembrane transport of small molecules
ABCA3,0,HSF2,0,0.901,Pathway,Validated nuclear estrogen receptor alpha network
ABCA3,0,ATP2B4,0,0.9,Pathway,Transmembrane transport of small molecules
ABCA3,0,GABRG2,1,0.899,Pathway,Transmembrane transport of small molecules
ABCA3,0,ATP2B3,0,0.899,Pathway,Transmembrane transport of small molecules
ABCA3,0,GLRB,0,0.899,Pathway,Transmembrane transport of small molecules
ABCA3,0,NCOA7,0,0.899,Pathway,Validated nuclear estrogen receptor alpha network
ABCA3,0,DDX54,0,0.899,Pathway,Validated nuclear estrogen receptor alpha network
ABCA3,0,SLC27A1,0,0.899,Pathway,Transmembrane transport of small molecules
ABCA3,0,UNC79,1,0.898,Pathway,Transmembrane transport of small molecules
ABCA3,0,SLC11A2,0,0.898,Pathway,Transmembrane transport of small molecules
ABCA3,0,ATP2A2,0,0.898,Pathway,Transmembrane transport of small molecules
ABCA3,0,ATP10B,0,0.897,Pathway,Transmembrane transport of small molecules
ABCA3,0,OSTM1,0,0.897,Pathway,Transmembrane transport of small molecules
ABCA3,0,SLC35D2,0,0.896,Pathway,Transmembrane transport of small molecules
