Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
AHCYL1,0,MTHFD1L,0,0.875,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,MTHFD2,0,0.875,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,SHMT2,0,0.861,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,GSS,1,0.853,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,MTHFD1,0,0.848,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,MTHFD2L,0,0.846,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,AHCYL2,0,0.839,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,DNMT3A,1,0.838,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,AMT,1,0.837,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,MAT2A,0,0.834,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,PHGDH,1,0.826,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,GCLM,0,0.824,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,CBS,0,0.823,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,AHCY,0,0.82,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,MTHFR,1,0.82,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,PSAT1,1,0.814,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,DNMT1,0,0.814,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,SHMT1,0,0.813,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,GCLC,0,0.812,Pathway,Trans-sulfuration and one carbon metabolism
AHCYL1,0,DNMT3B,0,0.811,Pathway,Trans-sulfuration and one carbon metabolism
