Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
ALS2,0,SLC1A2,1,0.833,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,GRIA1,1,0.828,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,BAX,0,0.824,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,NEFM,0,0.801,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,NEFH,0,0.799,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,NEFL,0,0.787,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,DERL1,0,0.783,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,PPP3CC,0,0.783,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,CAT,0,0.776,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,CCS,0,0.774,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,SOD1,0,0.774,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,BCL2L1,0,0.771,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,TOMM40,0,0.77,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,GPX1,0,0.769,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,RAB5A,0,0.768,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,APAF1,0,0.765,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,DAXX,0,0.764,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,PRPH,0,0.764,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,CASP3,0,0.763,Pathway,Amyotrophic lateral sclerosis (ALS)
ALS2,0,CST3,0,0.762,Pathway,Amyotrophic lateral sclerosis (ALS)
