Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
AP1S2,0,SPTBN2,0,0.894,Pathway,Adaptive Immune System
AP1S2,0,SPTBN2,0,0.894,Pathway,Immune System
AP1S2,0,SPTBN2,0,0.894,Pathway,MHC class II antigen presentation
AP1S2,0,RALGAPB,0,0.893,Pathway,Membrane Trafficking
AP1S2,0,TPK1,1,0.89,Pathway,Disease
AP1S2,0,PNPO,1,0.89,Pathway,Disease
AP1S2,0,GNB1,1,0.889,Pathway,Disease
AP1S2,0,TSC2,0,0.889,Pathway,Adaptive Immune System
AP1S2,0,TSC2,0,0.889,Pathway,Disease
AP1S2,0,TSC2,0,0.889,Pathway,Immune System
AP1S2,0,RANBP2,1,0.885,Pathway,Disease
AP1S2,0,RANBP2,1,0.885,Pathway,HIV Infection
AP1S2,0,RANBP2,1,0.885,Pathway,Host Interactions of HIV factors
AP1S2,0,RANBP2,1,0.885,Pathway,Immune System
AP1S2,0,ATP6V0A1,1,0.884,Pathway,Disease
AP1S2,0,PACS1,1,0.884,Pathway,Disease
AP1S2,0,PACS1,1,0.884,Pathway,HIV Infection
AP1S2,0,PACS1,1,0.884,Pathway,Host Interactions of HIV factors
AP1S2,0,PACS1,1,0.884,Pathway,Nef mediated downregulation of MHC class I complex cell surface expression
AP1S2,0,PACS1,1,0.884,Pathway,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
AP1S2,0,PACS1,1,0.884,Pathway,The role of Nef in HIV-1 replication and disease pathogenesis
AP1S2,0,PCCB,1,0.884,Pathway,Disease
AP1S2,0,IDUA,0,0.884,Pathway,Disease
AP1S2,0,UBA5,1,0.883,Pathway,Adaptive Immune System
AP1S2,0,UBA5,1,0.883,Pathway,Immune System
AP1S2,0,UBE2A,1,0.881,Pathway,Adaptive Immune System
AP1S2,0,UBE2A,1,0.881,Pathway,Immune System
AP1S2,0,STX1B,1,0.879,Pathway,Disease
AP1S2,0,TALDO1,0,0.877,Pathway,Disease
AP1S2,0,SLC25A32,0,0.877,Pathway,Disease
AP1S2,0,KIF2A,1,0.877,Pathway,Adaptive Immune System
AP1S2,0,KIF2A,1,0.877,Pathway,Immune System
AP1S2,0,KIF2A,1,0.877,Pathway,MHC class II antigen presentation
AP1S2,0,PPP2R5D,1,0.877,Pathway,Adaptive Immune System
AP1S2,0,PPP2R5D,1,0.877,Pathway,Disease
AP1S2,0,PPP2R5D,1,0.877,Pathway,Immune System
AP1S2,0,TBL1XR1,1,0.876,Pathway,Disease
AP1S2,0,SLC35B3,0,0.876,Pathway,Disease
