Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
ATP2C1,0,ATP6V1G1,0,0.869,Pathway,Transmembrane transport of small molecules
ATP2C1,0,ABCA12,0,0.867,Pathway,Transmembrane transport of small molecules
ATP2C1,0,GNB1,1,0.867,Pathway,Transmembrane transport of small molecules
ATP2C1,0,SLC27A1,0,0.867,Pathway,Transmembrane transport of small molecules
ATP2C1,0,ATP1B3,0,0.866,Pathway,Ion channel transport
ATP2C1,0,ATP1B3,0,0.866,Pathway,Ion transport by P-type ATPases
ATP2C1,0,ATP1B3,0,0.866,Pathway,Transmembrane transport of small molecules
ATP2C1,0,GABRG2,1,0.866,Pathway,Ion channel transport
ATP2C1,0,GABRG2,1,0.866,Pathway,Transmembrane transport of small molecules
ATP2C1,0,UNC80,1,0.866,Pathway,Ion channel transport
ATP2C1,0,UNC80,1,0.866,Pathway,Transmembrane transport of small molecules
ATP2C1,0,ATP10D,0,0.865,Pathway,Ion channel transport
ATP2C1,0,ATP10D,0,0.865,Pathway,Ion transport by P-type ATPases
ATP2C1,0,ATP10D,0,0.865,Pathway,Transmembrane transport of small molecules
ATP2C1,0,ATP2B3,0,0.864,Pathway,Ion channel transport
ATP2C1,0,ATP2B3,0,0.864,Pathway,Ion transport by P-type ATPases
ATP2C1,0,ATP2B3,0,0.864,Pathway,Transmembrane transport of small molecules
ATP2C1,0,GABRB3,1,0.86,Pathway,Ion channel transport
ATP2C1,0,GABRB3,1,0.86,Pathway,Transmembrane transport of small molecules
ATP2C1,0,TBL1XR1,1,0.86,Pathway,Transmembrane transport of small molecules
ATP2C1,0,SLC6A1,1,0.86,Pathway,Transmembrane transport of small molecules
ATP2C1,0,ATP2B2,1,0.86,Pathway,Ion channel transport
ATP2C1,0,ATP2B2,1,0.86,Pathway,Ion transport by P-type ATPases
ATP2C1,0,ATP2B2,1,0.86,Pathway,Transmembrane transport of small molecules
ATP2C1,0,WNK1,0,0.855,Pathway,Ion channel transport
ATP2C1,0,WNK1,0,0.855,Pathway,Transmembrane transport of small molecules
ATP2C1,0,TUBB2A,1,0.854,Pathway,Transmembrane transport of small molecules
ATP2C1,0,RANBP2,1,0.854,Pathway,Transmembrane transport of small molecules
ATP2C1,0,GLRB,0,0.85,Pathway,Ion channel transport
ATP2C1,0,GLRB,0,0.85,Pathway,Transmembrane transport of small molecules
ATP2C1,0,GABRA1,1,0.849,Pathway,Ion channel transport
ATP2C1,0,GABRA1,1,0.849,Pathway,Transmembrane transport of small molecules
ATP2C1,0,UNC79,1,0.847,Pathway,Ion channel transport
ATP2C1,0,UNC79,1,0.847,Pathway,Transmembrane transport of small molecules
ATP2C1,0,CLCN4,1,0.847,Pathway,Ion channel transport
ATP2C1,0,CLCN4,1,0.847,Pathway,Transmembrane transport of small molecules
