Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
ATXN7,0,ACTL6B,1,0.91,Pathway,Chromatin modifying enzymes
ATXN7,0,KAT6A,1,0.903,Pathway,Chromatin modifying enzymes
ATXN7,0,KAT6A,1,0.903,Pathway,HATs acetylate histones
ATXN7,0,PHF8,0,0.903,Pathway,Chromatin modifying enzymes
ATXN7,0,ARID1B,1,0.9,Pathway,Chromatin modifying enzymes
ATXN7,0,KANSL1,1,0.897,Pathway,Chromatin modifying enzymes
ATXN7,0,KANSL1,1,0.897,Pathway,HATs acetylate histones
ATXN7,0,GATAD2B,1,0.882,Pathway,Chromatin modifying enzymes
ATXN7,0,CHD3,1,0.878,Pathway,Chromatin modifying enzymes
ATXN7,0,SMARCC2,1,0.875,Pathway,Chromatin modifying enzymes
ATXN7,0,KDM5C,1,0.874,Pathway,Chromatin modifying enzymes
ATXN7,0,ELP2,0,0.869,Pathway,Chromatin modifying enzymes
ATXN7,0,ELP2,0,0.869,Pathway,HATs acetylate histones
ATXN7,0,HCFC1,1,0.868,Pathway,Chromatin modifying enzymes
ATXN7,0,HCFC1,1,0.868,Pathway,HATs acetylate histones
ATXN7,0,KAT6B,0,0.867,Pathway,Chromatin modifying enzymes
ATXN7,0,KAT6B,0,0.867,Pathway,HATs acetylate histones
ATXN7,0,TBL1XR1,1,0.864,Pathway,Chromatin modifying enzymes
ATXN7,0,BRPF1,0,0.864,Pathway,Chromatin modifying enzymes
ATXN7,0,BRPF1,0,0.864,Pathway,HATs acetylate histones
ATXN7,0,ELP4,0,0.863,Pathway,Chromatin modifying enzymes
ATXN7,0,ELP4,0,0.863,Pathway,HATs acetylate histones
ATXN7,0,TRRAP,1,0.858,Pathway,Chromatin modifying enzymes
ATXN7,0,TRRAP,1,0.858,Pathway,HATs acetylate histones
ATXN7,0,SMARCB1,1,0.857,Pathway,Chromatin modifying enzymes
ATXN7,0,HDAC3,1,0.857,Pathway,Chromatin modifying enzymes
ATXN7,0,PHF20,0,0.856,Pathway,Chromatin modifying enzymes
ATXN7,0,PHF20,0,0.856,Pathway,HATs acetylate histones
ATXN7,0,SMARCA2,1,0.852,Pathway,Chromatin modifying enzymes
