Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
BRPF1,0,PHF8,0,0.765,Pathway,Chromatin modifying enzymes
BRPF1,0,KANSL1,1,0.749,Pathway,Chromatin modifying enzymes
BRPF1,0,KANSL1,1,0.749,Pathway,HATs acetylate histones
BRPF1,0,KAT6A,1,0.748,Pathway,Chromatin modifying enzymes
BRPF1,0,KAT6A,1,0.748,Pathway,HATs acetylate histones
BRPF1,0,ARID1B,1,0.735,Pathway,Chromatin modifying enzymes
BRPF1,0,ATXN7,0,0.724,Pathway,Chromatin modifying enzymes
BRPF1,0,ATXN7,0,0.724,Pathway,HATs acetylate histones
BRPF1,0,ACTL6B,1,0.718,Pathway,Chromatin modifying enzymes
BRPF1,0,SMARCC2,1,0.702,Pathway,Chromatin modifying enzymes
BRPF1,0,GATAD2B,1,0.692,Pathway,Chromatin modifying enzymes
BRPF1,0,KDM5C,1,0.684,Pathway,Chromatin modifying enzymes
BRPF1,0,TBL1XR1,1,0.681,Pathway,Chromatin modifying enzymes
BRPF1,0,ELP2,0,0.68,Pathway,Chromatin modifying enzymes
BRPF1,0,ELP2,0,0.68,Pathway,HATs acetylate histones
BRPF1,0,CHD3,1,0.676,Pathway,Chromatin modifying enzymes
BRPF1,0,HDAC3,1,0.672,Pathway,Chromatin modifying enzymes
BRPF1,0,SMARCD1,0,0.671,Pathway,Chromatin modifying enzymes
BRPF1,0,HCFC1,1,0.665,Pathway,Chromatin modifying enzymes
BRPF1,0,HCFC1,1,0.665,Pathway,HATs acetylate histones
BRPF1,0,TRRAP,1,0.66,Pathway,Chromatin modifying enzymes
BRPF1,0,TRRAP,1,0.66,Pathway,HATs acetylate histones
BRPF1,0,ARID1A,1,0.658,Pathway,Chromatin modifying enzymes
BRPF1,0,SMARCB1,1,0.657,Pathway,Chromatin modifying enzymes
BRPF1,0,ELP4,0,0.655,Pathway,Chromatin modifying enzymes
BRPF1,0,ELP4,0,0.655,Pathway,HATs acetylate histones
BRPF1,0,ELP3,0,0.655,Pathway,Chromatin modifying enzymes
BRPF1,0,ELP3,0,0.655,Pathway,HATs acetylate histones
