Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
CHP1,0,IDUA,0,0.942,Pathway,Carbohydrate metabolism
CHP1,0,IDUA,0,0.942,Pathway,Defective B3GAT3 causes JDSSDHD
CHP1,0,IDUA,0,0.942,Pathway,Disease
CHP1,0,IDUA,0,0.942,Pathway,Metabolism
CHP1,0,GAB2,0,0.942,Pathway,Disease
CHP1,0,SLC25A20,0,0.942,Pathway,Metabolism
CHP1,0,PCCB,1,0.942,Pathway,Disease
CHP1,0,PCCB,1,0.942,Pathway,Metabolism
CHP1,0,PRODH,1,0.942,Pathway,Metabolism
CHP1,0,AP1S2,0,0.942,Pathway,Disease
CHP1,0,GMPS,0,0.942,Pathway,Metabolism
CHP1,0,L2HGDH,1,0.942,Pathway,Metabolism
CHP1,0,RANBP2,1,0.942,Pathway,Carbohydrate metabolism
CHP1,0,RANBP2,1,0.942,Pathway,Disease
CHP1,0,RANBP2,1,0.942,Pathway,Metabolism
CHP1,0,NDUFS6,1,0.942,Pathway,Metabolism
CHP1,0,HDAC6,0,0.941,Pathway,Disease
CHP1,0,GPT,0,0.941,Pathway,Metabolism
CHP1,0,SUCLG1,1,0.941,Pathway,Metabolism
CHP1,0,PPP2R5D,1,0.941,Pathway,Carbohydrate metabolism
CHP1,0,PPP2R5D,1,0.941,Pathway,Disease
CHP1,0,PPP2R5D,1,0.941,Pathway,Metabolism
CHP1,0,GC,0,0.941,Pathway,Metabolism
CHP1,0,SUCLA2,1,0.941,Pathway,Metabolism
CHP1,0,MED18,0,0.94,Pathway,Metabolism
CHP1,0,GBA,0,0.94,Pathway,Metabolism
CHP1,0,TBL1XR1,1,0.94,Pathway,Disease
CHP1,0,TBL1XR1,1,0.94,Pathway,Metabolism
CHP1,0,D2HGDH,1,0.94,Pathway,Metabolism
