Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
DHCR7,0,PNPO,1,0.888,Pathway,Metabolism
DHCR7,0,GPT,0,0.888,Pathway,Metabolism
DHCR7,0,STXBP1,1,0.882,Pathway,Metabolism
DHCR7,0,GNAS,0,0.882,Pathway,Metabolism
DHCR7,0,GMPS,0,0.881,Pathway,Metabolism
DHCR7,0,RANBP2,1,0.881,Pathway,Metabolism
DHCR7,0,SLC23A2,0,0.881,Pathway,Metabolism
DHCR7,0,MED18,0,0.88,Pathway,Metabolism
DHCR7,0,MED18,0,0.88,Pathway,Metabolism of lipids and lipoproteins
DHCR7,0,SUCLA2,1,0.878,Pathway,Metabolism
DHCR7,0,PRODH,1,0.877,Pathway,Metabolism
DHCR7,0,PCCB,1,0.876,Pathway,Metabolism
DHCR7,0,PCCB,1,0.876,Pathway,Metabolism of lipids and lipoproteins
DHCR7,0,TPK1,1,0.876,Pathway,Metabolism
DHCR7,0,MOCS1,1,0.875,Pathway,Metabolism
DHCR7,0,HADHB,0,0.874,Pathway,Metabolism
DHCR7,0,HADHB,0,0.874,Pathway,Metabolism of lipids and lipoproteins
DHCR7,0,SUCLG1,1,0.874,Pathway,Metabolism
DHCR7,0,CACNA1A,1,0.874,Pathway,Metabolism
DHCR7,0,GBA,0,0.872,Pathway,Metabolism
DHCR7,0,GBA,0,0.872,Pathway,Metabolism of lipids and lipoproteins
DHCR7,0,TBL1XR1,1,0.87,Pathway,Activation of gene expression by SREBF (SREBP)
DHCR7,0,TBL1XR1,1,0.87,Pathway,Metabolism
DHCR7,0,TBL1XR1,1,0.87,Pathway,Metabolism of lipids and lipoproteins
DHCR7,0,TBL1XR1,1,0.87,Pathway,Regulation of cholesterol biosynthesis by SREBP (SREBF)
DHCR7,0,PDHA1,1,0.87,Pathway,Metabolism
DHCR7,0,L2HGDH,1,0.869,Pathway,Metabolism
