Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
ENO2,0,STXBP1,1,0.898,Pathway,Metabolism
ENO2,0,PNPO,1,0.893,Pathway,Disease
ENO2,0,PNPO,1,0.893,Pathway,Metabolism
ENO2,0,SLC23A1,0,0.893,Pathway,Disease
ENO2,0,SLC23A1,0,0.893,Pathway,Metabolism
ENO2,0,GNAT1,0,0.892,Pathway,Disease
ENO2,0,RANBP2,1,0.888,Pathway,Carbohydrate metabolism
ENO2,0,RANBP2,1,0.888,Pathway,Disease
ENO2,0,RANBP2,1,0.888,Pathway,Metabolism
ENO2,0,TSC2,0,0.886,Pathway,Disease
ENO2,0,MED18,0,0.886,Pathway,Metabolism
ENO2,0,PCCB,1,0.885,Pathway,Disease
ENO2,0,PCCB,1,0.885,Pathway,Metabolism
ENO2,0,PACS1,1,0.884,Pathway,Disease
ENO2,0,AP1S2,0,0.883,Pathway,Disease
ENO2,0,TBL1XR1,1,0.883,Pathway,Disease
ENO2,0,TBL1XR1,1,0.883,Pathway,Metabolism
ENO2,0,GPT,0,0.883,Pathway,Metabolism
ENO2,0,PDHX,1,0.883,Pathway,Metabolism
ENO2,0,PDHX,1,0.883,Pathway,Glycolysis and Gluconeogenesis
ENO2,0,SLC25A20,0,0.882,Pathway,Metabolism
ENO2,0,HADHB,0,0.882,Pathway,Metabolism
ENO2,0,GMPS,0,0.881,Pathway,Metabolism
ENO2,0,HDAC6,0,0.881,Pathway,Disease
ENO2,0,SUCLG1,1,0.881,Pathway,Metabolism
ENO2,0,PDHA1,1,0.88,Pathway,Metabolism
ENO2,0,PDHA1,1,0.88,Pathway,Glycolysis and Gluconeogenesis
ENO2,0,HADHA,0,0.879,Pathway,Metabolism
