Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
ERC2,0,PURA,1,0.901,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,QKI,0,0.864,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,CLDN5,1,0.844,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,SUMO3,0,0.836,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,ETV6,0,0.832,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,PIGF,1,0.824,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,DNAJA1,0,0.82,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,NCOA4,0,0.818,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,IDI1,0,0.818,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,TAB2,0,0.814,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,UGP2,1,0.805,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,NCKAP1,1,0.805,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,GSTP1,0,0.796,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,HSPA8,0,0.795,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,DAZAP2,0,0.795,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,TOB1,0,0.792,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,G0S2,0,0.788,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,GSTM3,0,0.785,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,BTG1,0,0.777,Pathway,Diurnally Regulated Genes with Circadian Orthologs
ERC2,0,ZFR,0,0.777,Pathway,Diurnally Regulated Genes with Circadian Orthologs
