Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
GLRB,0,SLC27A1,0,0.886,Pathway,Transmembrane transport of small molecules
GLRB,0,ATP6V1G1,0,0.884,Pathway,Transmembrane transport of small molecules
GLRB,0,SLC10A6,0,0.883,Pathway,Transmembrane transport of small molecules
GLRB,0,GNB1,1,0.883,Pathway,Transmembrane transport of small molecules
GLRB,0,GABRG2,1,0.883,Pathway,Ion channel transport
GLRB,0,GABRG2,1,0.883,Pathway,Ligand-gated ion channel transport
GLRB,0,GABRG2,1,0.883,Pathway,Transmembrane transport of small molecules
GLRB,0,ABCA12,0,0.882,Pathway,Transmembrane transport of small molecules
GLRB,0,UNC80,1,0.881,Pathway,Ion channel transport
GLRB,0,UNC80,1,0.881,Pathway,Transmembrane transport of small molecules
GLRB,0,RANBP2,1,0.881,Pathway,Transmembrane transport of small molecules
GLRB,0,ATP2B3,0,0.88,Pathway,Ion channel transport
GLRB,0,ATP2B3,0,0.88,Pathway,Transmembrane transport of small molecules
GLRB,0,ATP2B4,0,0.88,Pathway,Ion channel transport
GLRB,0,ATP2B4,0,0.88,Pathway,Transmembrane transport of small molecules
GLRB,0,ATP2A2,0,0.88,Pathway,Ion channel transport
GLRB,0,ATP2A2,0,0.88,Pathway,Transmembrane transport of small molecules
GLRB,0,SLC35D2,0,0.879,Pathway,Transmembrane transport of small molecules
GLRB,0,UNC79,1,0.879,Pathway,Ion channel transport
GLRB,0,UNC79,1,0.879,Pathway,Transmembrane transport of small molecules
GLRB,0,WNK1,0,0.879,Pathway,Ion channel transport
GLRB,0,WNK1,0,0.879,Pathway,Transmembrane transport of small molecules
GLRB,0,ATP10D,0,0.879,Pathway,Ion channel transport
GLRB,0,ATP10D,0,0.879,Pathway,Transmembrane transport of small molecules
GLRB,0,ATP10B,0,0.878,Pathway,Ion channel transport
GLRB,0,ATP10B,0,0.878,Pathway,Transmembrane transport of small molecules
GLRB,0,GABRB3,1,0.878,Pathway,Ion channel transport
GLRB,0,GABRB3,1,0.878,Pathway,Ligand-gated ion channel transport
GLRB,0,GABRB3,1,0.878,Pathway,Transmembrane transport of small molecules
GLRB,0,ATP1B3,0,0.878,Pathway,Ion channel transport
GLRB,0,ATP1B3,0,0.878,Pathway,Transmembrane transport of small molecules
GLRB,0,SLC11A2,0,0.877,Pathway,Transmembrane transport of small molecules
GLRB,0,ANO7,0,0.873,Pathway,Ion channel transport
GLRB,0,ANO7,0,0.873,Pathway,Transmembrane transport of small molecules
