Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
GNPAT,0,PNPO,1,0.88,Pathway,Metabolism
GNPAT,0,HADHB,0,0.879,Pathway,Glycerophospholipid biosynthesis
GNPAT,0,HADHB,0,0.879,Pathway,Metabolism
GNPAT,0,HADHB,0,0.879,Pathway,Metabolism of lipids and lipoproteins
GNPAT,0,HADHB,0,0.879,Pathway,Phospholipid metabolism
GNPAT,0,RANBP2,1,0.878,Pathway,Metabolism
GNPAT,0,SLC23A2,0,0.877,Pathway,Metabolism
GNPAT,0,STXBP1,1,0.875,Pathway,Metabolism
GNPAT,0,TPK1,1,0.871,Pathway,Metabolism
GNPAT,0,MED18,0,0.87,Pathway,Metabolism
GNPAT,0,MED18,0,0.87,Pathway,Metabolism of lipids and lipoproteins
GNPAT,0,PCCB,1,0.859,Pathway,Metabolism
GNPAT,0,PCCB,1,0.859,Pathway,Metabolism of lipids and lipoproteins
GNPAT,0,PRODH,1,0.859,Pathway,Metabolism
GNPAT,0,GNAS,0,0.858,Pathway,Metabolism
GNPAT,0,SLC25A21,0,0.858,Pathway,Metabolism
GNPAT,0,SUCLG1,1,0.855,Pathway,Metabolism
GNPAT,0,MOCS1,1,0.853,Pathway,Metabolism
GNPAT,0,GPT,0,0.852,Pathway,Metabolism
GNPAT,0,TBL1XR1,1,0.852,Pathway,Metabolism
GNPAT,0,TBL1XR1,1,0.852,Pathway,Metabolism of lipids and lipoproteins
GNPAT,0,L2HGDH,1,0.851,Pathway,Metabolism
GNPAT,0,PRPS1,0,0.848,Pathway,Metabolism
GNPAT,0,HSD3B1,0,0.846,Pathway,Metabolism
GNPAT,0,HSD3B1,0,0.846,Pathway,Metabolism of lipids and lipoproteins
GNPAT,0,SUCLA2,1,0.845,Pathway,Metabolism
GNPAT,0,IDUA,0,0.844,Pathway,Metabolism
