Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
IDUA,0,PNPO,1,0.89,Pathway,Disease
IDUA,0,PNPO,1,0.89,Pathway,Metabolism
IDUA,0,GNAT1,0,0.885,Pathway,Disease
IDUA,0,STXBP1,1,0.884,Pathway,Metabolism
IDUA,0,HADHB,0,0.882,Pathway,Metabolism
IDUA,0,SLC23A1,0,0.881,Pathway,Disease
IDUA,0,SLC23A1,0,0.881,Pathway,Metabolism
IDUA,0,MED18,0,0.881,Pathway,Metabolism
IDUA,0,PACS1,1,0.879,Pathway,Disease
IDUA,0,RANBP2,1,0.879,Pathway,Carbohydrate metabolism
IDUA,0,RANBP2,1,0.879,Pathway,Disease
IDUA,0,RANBP2,1,0.879,Pathway,Metabolism
IDUA,0,ATP6V0A1,1,0.877,Pathway,Disease
IDUA,0,TPK1,1,0.877,Pathway,Disease
IDUA,0,TPK1,1,0.877,Pathway,Metabolism
IDUA,0,TBL1XR1,1,0.877,Pathway,Disease
IDUA,0,TBL1XR1,1,0.877,Pathway,Metabolism
IDUA,0,TSC2,0,0.876,Pathway,Disease
IDUA,0,SLC25A20,0,0.875,Pathway,Metabolism
IDUA,0,PRPS1,0,0.875,Pathway,Carbohydrate metabolism
IDUA,0,PRPS1,0,0.875,Pathway,Disease
IDUA,0,PRPS1,0,0.875,Pathway,Metabolism
IDUA,0,SUCLA2,1,0.874,Pathway,Metabolism
IDUA,0,PDHA1,1,0.874,Pathway,Metabolism
IDUA,0,AP1S2,0,0.873,Pathway,Disease
IDUA,0,GMPS,0,0.873,Pathway,Metabolism
IDUA,0,SUCLG1,1,0.873,Pathway,Metabolism
IDUA,0,PCCB,1,0.872,Pathway,Disease
IDUA,0,PCCB,1,0.872,Pathway,Metabolism
