Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
NDUFS3,0,PNPO,1,0.891,Pathway,Metabolism
NDUFS3,0,SLC23A2,0,0.888,Pathway,Metabolism
NDUFS3,0,STXBP1,1,0.887,Pathway,Metabolism
NDUFS3,0,GPT,0,0.886,Pathway,Metabolism
NDUFS3,0,GNAS,0,0.885,Pathway,Metabolism
NDUFS3,0,SUCLA2,1,0.884,Pathway,Metabolism
NDUFS3,0,SUCLA2,1,0.884,Pathway,The citric acid (TCA) cycle and respiratory electron transport
NDUFS3,0,MED18,0,0.879,Pathway,Metabolism
NDUFS3,0,SLC25A20,0,0.877,Pathway,Metabolism
NDUFS3,0,MOCS1,1,0.876,Pathway,Metabolism
NDUFS3,0,PCCB,1,0.876,Pathway,Metabolism
NDUFS3,0,TPK1,1,0.876,Pathway,Metabolism
NDUFS3,0,RANBP2,1,0.875,Pathway,Metabolism
NDUFS3,0,SUCLG1,1,0.874,Pathway,Metabolism
NDUFS3,0,SUCLG1,1,0.874,Pathway,The citric acid (TCA) cycle and respiratory electron transport
NDUFS3,0,GMPS,0,0.873,Pathway,Metabolism
NDUFS3,0,ATP6AP1,0,0.872,Pathway,Oxidative phosphorylation
NDUFS3,0,L2HGDH,1,0.87,Pathway,Metabolism
NDUFS3,0,L2HGDH,1,0.87,Pathway,The citric acid (TCA) cycle and respiratory electron transport
NDUFS3,0,CACNA1A,1,0.87,Pathway,Metabolism
NDUFS3,0,TBL1XR1,1,0.869,Pathway,Metabolism
NDUFS3,0,HADHA,0,0.868,Pathway,Metabolism
NDUFS3,0,HADHB,0,0.868,Pathway,Metabolism
