Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
RAB3GAP2,1,CHRNA1,0,0.488,Pathway,Effects of Botulinum toxin
PNKP,1,XRCC6,0,0.4,Pathway,DNA-PK pathway in nonhomologous end joining
SYNGAP1,1,RASAL1,0,0.375,Pathway,Regulation of Ras family activation
KANSL1,1,CCND1,0,0.365,Pathway,Chromatin modifying enzymes
PNKP,1,POLM,0,0.361,Pathway,DNA-PK pathway in nonhomologous end joining
SYNGAP1,1,RASGRP4,0,0.356,Pathway,Regulation of Ras family activation
SYNGAP1,1,RIN1,0,0.351,Pathway,Regulation of Ras family activation
PNKP,1,XRCC4,0,0.345,Pathway,DNA-PK pathway in nonhomologous end joining
KANSL1,1,BRMS1,0,0.34,Pathway,Chromatin modifying enzymes
KANSL1,1,ING5,0,0.34,Pathway,Chromatin modifying enzymes
KANSL1,1,ING5,0,0.34,Pathway,HATs acetylate histones
KANSL1,1,PRMT6,0,0.339,Pathway,Chromatin modifying enzymes
SYNGAP1,1,RRAS,0,0.337,Pathway,Regulation of Ras family activation
KANSL1,1,WDR77,0,0.335,Pathway,Chromatin modifying enzymes
ARX,1,BMP4,0,0.334,Pathway,Ectoderm Differentiation
KANSL1,1,SUDS3,0,0.332,Pathway,Chromatin modifying enzymes
ARX,1,TNFRSF11B,0,0.331,Pathway,Ectoderm Differentiation
KANSL1,1,KDM4D,0,0.33,Pathway,Chromatin modifying enzymes
KANSL1,1,HMG20B,0,0.327,Pathway,Chromatin modifying enzymes
ARX,1,RHPN1,0,0.325,Pathway,Ectoderm Differentiation
RAB3GAP2,1,STX1A,1,0.325,Pathway,Effects of Botulinum toxin
