Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
PRPS1,0,TPK1,1,0.866,Pathway,Disease
PRPS1,0,TPK1,1,0.866,Pathway,Metabolism
PRPS1,0,STXBP1,1,0.865,Pathway,Metabolism
PRPS1,0,PRODH,1,0.861,Pathway,Metabolism
PRPS1,0,PDHA1,1,0.86,Pathway,Metabolism
PRPS1,0,CACNA1A,1,0.86,Pathway,Metabolism
PRPS1,0,NMNAT2,0,0.859,Pathway,Disease
PRPS1,0,NMNAT2,0,0.859,Pathway,Metabolism
PRPS1,0,TSC2,0,0.859,Pathway,Disease
PRPS1,0,TALDO1,0,0.859,Pathway,Carbohydrate metabolism
PRPS1,0,TALDO1,0,0.859,Pathway,Disease
PRPS1,0,TALDO1,0,0.859,Pathway,Metabolism
PRPS1,0,GLS2,0,0.859,Pathway,Metabolism
PRPS1,0,MED18,0,0.858,Pathway,Metabolism
PRPS1,0,SDHA,1,0.858,Pathway,Metabolism
PRPS1,0,GNAT1,0,0.858,Pathway,Disease
PRPS1,0,PDHX,1,0.858,Pathway,Metabolism
PRPS1,0,PACS1,1,0.857,Pathway,Disease
PRPS1,0,ECHS1,1,0.857,Pathway,Metabolism
PRPS1,0,HADHA,0,0.857,Pathway,Metabolism
PRPS1,0,PCCB,1,0.857,Pathway,Disease
PRPS1,0,PCCB,1,0.857,Pathway,Metabolism
PRPS1,0,RANBP2,1,0.857,Pathway,Carbohydrate metabolism
PRPS1,0,RANBP2,1,0.857,Pathway,Disease
PRPS1,0,RANBP2,1,0.857,Pathway,Metabolism
PRPS1,0,PNPO,1,0.857,Pathway,Disease
PRPS1,0,PNPO,1,0.857,Pathway,Metabolism
PRPS1,0,GBA,0,0.856,Pathway,Metabolism
