Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
SLC19A2,0,SLC23A2,0,0.91,Pathway,Defective AMN causes hereditary megaloblastic anemia 1
SLC19A2,0,SLC23A2,0,0.91,Pathway,Disease
SLC19A2,0,SLC23A2,0,0.91,Pathway,Metabolism
SLC19A2,0,STXBP1,1,0.908,Pathway,Metabolism
SLC19A2,0,GNAT1,0,0.902,Pathway,Disease
SLC19A2,0,PNPO,1,0.902,Pathway,Defective AMN causes hereditary megaloblastic anemia 1
SLC19A2,0,PNPO,1,0.902,Pathway,Disease
SLC19A2,0,PNPO,1,0.902,Pathway,Metabolism
SLC19A2,0,PACS1,1,0.898,Pathway,Disease
SLC19A2,0,TPK1,1,0.896,Pathway,Defective AMN causes hereditary megaloblastic anemia 1
SLC19A2,0,TPK1,1,0.896,Pathway,Disease
SLC19A2,0,TPK1,1,0.896,Pathway,Metabolism
SLC19A2,0,TPK1,1,0.896,Pathway,Vitamin B1 (thiamin) metabolism
SLC19A2,0,MED18,0,0.896,Pathway,Metabolism
SLC19A2,0,TSC2,0,0.896,Pathway,Disease
SLC19A2,0,HADHB,0,0.894,Pathway,Metabolism
SLC19A2,0,CACNA1A,1,0.889,Pathway,Metabolism
SLC19A2,0,STX1B,1,0.888,Pathway,Disease
SLC19A2,0,MOCS1,1,0.887,Pathway,Defective AMN causes hereditary megaloblastic anemia 1
SLC19A2,0,MOCS1,1,0.887,Pathway,Disease
SLC19A2,0,MOCS1,1,0.887,Pathway,Metabolism
SLC19A2,0,GPT,0,0.886,Pathway,Metabolism
SLC19A2,0,RANBP2,1,0.886,Pathway,Disease
SLC19A2,0,RANBP2,1,0.886,Pathway,Metabolism
SLC19A2,0,PRODH,1,0.885,Pathway,Metabolism
SLC19A2,0,SUCLG1,1,0.884,Pathway,Metabolism
SLC19A2,0,PCCB,1,0.884,Pathway,Defective AMN causes hereditary megaloblastic anemia 1
SLC19A2,0,PCCB,1,0.884,Pathway,Disease
SLC19A2,0,PCCB,1,0.884,Pathway,Metabolism
SLC19A2,0,AP1S2,0,0.884,Pathway,Disease
SLC19A2,0,ATP6V0A1,1,0.883,Pathway,Disease
SLC19A2,0,SUCLA2,1,0.882,Pathway,Metabolism
