Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
RAB3GAP2,1,CHRNA1,0,0.418,Pathway,Effects of Botulinum toxin
SYNGAP1,1,RASAL1,0,0.348,Pathway,Regulation of Ras family activation
KANSL1,1,CCND1,0,0.327,Pathway,Chromatin modifying enzymes
SYNGAP1,1,RIN1,0,0.321,Pathway,Regulation of Ras family activation
SYNGAP1,1,RASGRP4,0,0.319,Pathway,Regulation of Ras family activation
KANSL1,1,BRMS1,0,0.318,Pathway,Chromatin modifying enzymes
KANSL1,1,KDM4D,0,0.315,Pathway,Chromatin modifying enzymes
KANSL1,1,WDR77,0,0.313,Pathway,Chromatin modifying enzymes
KANSL1,1,ING5,0,0.312,Pathway,Chromatin modifying enzymes
KANSL1,1,ING5,0,0.312,Pathway,HATs acetylate histones
SYNGAP1,1,RRAS,0,0.311,Pathway,Regulation of Ras family activation
KANSL1,1,ING3,0,0.308,Pathway,Chromatin modifying enzymes
KANSL1,1,ING3,0,0.308,Pathway,HATs acetylate histones
KANSL1,1,SMARCD2,0,0.308,Pathway,Chromatin modifying enzymes
KANSL1,1,MCRS1,0,0.307,Pathway,Chromatin modifying enzymes
KANSL1,1,MCRS1,0,0.307,Pathway,HATs acetylate histones
KANSL1,1,HMG20B,0,0.306,Pathway,Chromatin modifying enzymes
KANSL1,1,PRMT6,0,0.304,Pathway,Chromatin modifying enzymes
ARX,1,BMP4,0,0.303,Pathway,Ectoderm Differentiation
KANSL1,1,SUDS3,0,0.302,Pathway,Chromatin modifying enzymes
SYNGAP1,1,LGALS3,0,0.302,Pathway,Regulation of Ras family activation
PNKP,1,XRCC6,0,0.301,Pathway,DNA-PK pathway in nonhomologous end joining
KANSL1,1,BRD8,0,0.3,Pathway,Chromatin modifying enzymes
KANSL1,1,BRD8,0,0.3,Pathway,HATs acetylate histones
