Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
TTC21B,0,ATP6V0A1,1,0.828,Pathway,Signaling Pathways
TTC21B,0,TSC2,0,0.827,Pathway,Signaling Pathways
TTC21B,0,GNB1,1,0.826,Pathway,Signaling Pathways
TTC21B,0,GDI1,0,0.825,Pathway,Signaling Pathways
TTC21B,0,GNA11,0,0.824,Pathway,Signaling Pathways
TTC21B,0,HDAC6,0,0.82,Pathway,Signaling Pathways
TTC21B,0,RAC3,1,0.819,Pathway,Signaling Pathways
TTC21B,0,STRADA,1,0.817,Pathway,Signaling Pathways
TTC21B,0,GNAO1,1,0.817,Pathway,Signaling Pathways
TTC21B,0,OPHN1,1,0.815,Pathway,Signaling Pathways
TTC21B,0,ATP6AP1,0,0.815,Pathway,Signaling Pathways
TTC21B,0,TSC1,0,0.814,Pathway,Signaling Pathways
TTC21B,0,PPP2R5D,1,0.813,Pathway,Signaling Pathways
TTC21B,0,TBL1XR1,1,0.812,Pathway,Signaling Pathways
TTC21B,0,TRRAP,1,0.811,Pathway,Signaling Pathways
TTC21B,0,USP34,0,0.81,Pathway,Signaling Pathways
TTC21B,0,GRM5,0,0.807,Pathway,Signaling Pathways
TTC21B,0,CCDC88C,1,0.806,Pathway,Signaling Pathways
TTC21B,0,MEF2C,1,0.805,Pathway,Signaling Pathways
TTC21B,0,SRGAP3,0,0.802,Pathway,Signaling Pathways
