Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
BRD2,0,CBX4,0,0.949,Pathway,Regulation of retinoblastoma protein
BRD2,0,UBTF,1,0.949,Pathway,Regulation of retinoblastoma protein
BRD2,0,CEBPD,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,CDK4,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,AATF,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,CCND3,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,TGFB2,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,SKP2,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,SPI1,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,CDK6,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,CDKN1B,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,MET,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,MYOD1,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,SIRT1,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,ATF2,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,SFTPD,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,PPP2CA,1,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,CTBP1,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,CDK2,0,0.948,Pathway,Regulation of retinoblastoma protein
BRD2,0,SUV39H1,0,0.948,Pathway,Regulation of retinoblastoma protein
