Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
CSDE1,0,EP300,0,0.932,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,GFI1,0,0.931,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,TSC2,0,0.93,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,DNTT,0,0.924,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,SPI1,0,0.921,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,S100A7,0,0.921,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,SFXN3,0,0.914,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,HMGCS2,0,0.914,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,NFYC,0,0.913,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,LGALS1,0,0.913,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,TMEM126A,0,0.912,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,ZFP36L1,0,0.912,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,DNMT3A,0,0.912,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,CLU,0,0.911,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,COL1A2,0,0.911,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,NFYB,0,0.911,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,TMEFF2,0,0.911,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,DKK1,0,0.91,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,SFRP1,0,0.91,Pathway,Validated targets of C-MYC transcriptional repression
CSDE1,0,DDIT3,0,0.909,Pathway,Validated targets of C-MYC transcriptional repression
