Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
CTNND2,0,KRT6A,0,0.959,Pathway,Ectoderm Differentiation
CTNND2,0,PPFIBP2,0,0.958,Pathway,Ectoderm Differentiation
CTNND2,0,POU2F2,0,0.958,Pathway,Ectoderm Differentiation
CTNND2,0,HESX1,0,0.958,Pathway,Ectoderm Differentiation
CTNND2,0,ZBTB2,0,0.955,Pathway,Ectoderm Differentiation
CTNND2,0,MYC,0,0.953,Pathway,Ectoderm Differentiation
CTNND2,0,GREB1,0,0.953,Pathway,Ectoderm Differentiation
CTNND2,0,HMGB2,0,0.953,Pathway,Ectoderm Differentiation
CTNND2,0,RHPN1,0,0.953,Pathway,Ectoderm Differentiation
CTNND2,0,LY6E,0,0.952,Pathway,Ectoderm Differentiation
CTNND2,0,PAX3,0,0.952,Pathway,Ectoderm Differentiation
CTNND2,0,GRAMD1B,0,0.952,Pathway,Ectoderm Differentiation
CTNND2,0,ZFHX4,0,0.952,Pathway,Ectoderm Differentiation
CTNND2,0,STC1,0,0.952,Pathway,Ectoderm Differentiation
CTNND2,0,RAB8B,0,0.951,Pathway,Ectoderm Differentiation
CTNND2,0,GAS2L1,0,0.951,Pathway,Ectoderm Differentiation
CTNND2,0,TSKU,0,0.951,Pathway,Ectoderm Differentiation
CTNND2,0,HDAC6,0,0.951,Pathway,Ectoderm Differentiation
CTNND2,0,MZF1,0,0.951,Pathway,Ectoderm Differentiation
CTNND2,0,SIX6,0,0.951,Pathway,Ectoderm Differentiation
