Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
KAT6B,0,KDM4D,0,0.94,Pathway,Chromatin modifying enzymes
KAT6B,0,SMARCD1,0,0.94,Pathway,Chromatin modifying enzymes
KAT6B,0,KDM5B,0,0.939,Pathway,Chromatin modifying enzymes
KAT6B,0,MSL3,0,0.938,Pathway,Chromatin modifying enzymes
KAT6B,0,MSL3,0,0.938,Pathway,HATs acetylate histones
KAT6B,0,KDM3B,0,0.938,Pathway,Chromatin modifying enzymes
KAT6B,0,KDM4C,0,0.937,Pathway,Chromatin modifying enzymes
KAT6B,0,MSL2,0,0.936,Pathway,Chromatin modifying enzymes
KAT6B,0,MSL2,0,0.936,Pathway,HATs acetylate histones
KAT6B,0,SMARCC1,0,0.935,Pathway,Chromatin modifying enzymes
KAT6B,0,KANSL2,0,0.934,Pathway,Chromatin modifying enzymes
KAT6B,0,KANSL2,0,0.934,Pathway,HATs acetylate histones
KAT6B,0,ARID1B,1,0.933,Pathway,Chromatin modifying enzymes
KAT6B,0,KAT8,1,0.933,Pathway,Chromatin modifying enzymes
KAT6B,0,KAT8,1,0.933,Pathway,HATs acetylate histones
KAT6B,0,KDM2B,0,0.933,Pathway,Chromatin modifying enzymes
KAT6B,0,ARID1A,1,0.932,Pathway,Chromatin modifying enzymes
KAT6B,0,SMARCE1,1,0.932,Pathway,Chromatin modifying enzymes
KAT6B,0,PRMT6,0,0.932,Pathway,Chromatin modifying enzymes
KAT6B,0,ELP3,0,0.932,Pathway,Chromatin modifying enzymes
KAT6B,0,ELP3,0,0.932,Pathway,HATs acetylate histones
KAT6B,0,KAT6A,1,0.932,Pathway,Chromatin modifying enzymes
KAT6B,0,KAT6A,1,0.932,Pathway,HATs acetylate histones
KAT6B,0,EP400,0,0.932,Pathway,Chromatin modifying enzymes
KAT6B,0,EP400,0,0.932,Pathway,HATs acetylate histones
KAT6B,0,SMARCD2,0,0.931,Pathway,Chromatin modifying enzymes
KAT6B,0,TADA1,0,0.931,Pathway,Chromatin modifying enzymes
KAT6B,0,TADA1,0,0.931,Pathway,HATs acetylate histones
