Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
PRICKLE1,0,EP300,0,0.956,Pathway,Signaling Pathways
PRICKLE1,0,EP300,0,0.956,Pathway,Signaling by Wnt
PRICKLE1,0,ADCY1,0,0.956,Pathway,Signaling Pathways
PRICKLE1,0,MEF2C,1,0.956,Pathway,Signaling Pathways
PRICKLE1,0,ATP6V0A1,1,0.956,Pathway,Signaling Pathways
PRICKLE1,0,TSC2,0,0.955,Pathway,Signaling Pathways
PRICKLE1,0,TRIO,1,0.955,Pathway,Signaling Pathways
PRICKLE1,0,TRRAP,1,0.954,Pathway,Signaling Pathways
PRICKLE1,0,TRRAP,1,0.954,Pathway,Signaling by Wnt
PRICKLE1,0,NRAS,1,0.954,Pathway,Signaling Pathways
PRICKLE1,0,PPP3CA,1,0.954,Pathway,beta-catenin independent WNT signaling
PRICKLE1,0,PPP3CA,1,0.954,Pathway,Signaling Pathways
PRICKLE1,0,PPP3CA,1,0.954,Pathway,Signaling by Wnt
PRICKLE1,0,BRAF,1,0.953,Pathway,Signaling Pathways
PRICKLE1,0,CSNK1E,1,0.951,Pathway,Signaling Pathways
PRICKLE1,0,CSNK1E,1,0.951,Pathway,Signaling by Wnt
PRICKLE1,0,AKT1,1,0.951,Pathway,Signaling Pathways
PRICKLE1,0,AKT1,1,0.951,Pathway,Signaling by Wnt
PRICKLE1,0,ATP6AP1,0,0.95,Pathway,Signaling Pathways
PRICKLE1,0,NTRK2,1,0.95,Pathway,Signaling Pathways
PRICKLE1,0,PRKAR1A,0,0.95,Pathway,Signaling Pathways
PRICKLE1,0,CSNK1G2,0,0.949,Pathway,Signaling Pathways
PRICKLE1,0,CSNK1G2,0,0.949,Pathway,Signaling by Wnt
PRICKLE1,0,GNB1,1,0.949,Pathway,beta-catenin independent WNT signaling
PRICKLE1,0,GNB1,1,0.949,Pathway,Signaling Pathways
PRICKLE1,0,GNB1,1,0.949,Pathway,Signaling by Wnt
PRICKLE1,0,ATP6V0A4,0,0.949,Pathway,Signaling Pathways
PRICKLE1,0,GDI1,0,0.948,Pathway,Signaling Pathways
PRICKLE1,0,CSNK2B,1,0.948,Pathway,Signaling Pathways
PRICKLE1,0,CSNK2B,1,0.948,Pathway,Signaling by Wnt
