Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
RAB3A,0,STX2,0,0.965,Pathway,Synaptic Vesicle Pathway
RAB3A,0,SYP,0,0.964,Pathway,Synaptic Vesicle Pathway
RAB3A,0,NAPA,0,0.964,Pathway,Synaptic Vesicle Pathway
RAB3A,0,CPLX2,0,0.963,Pathway,Synaptic Vesicle Pathway
RAB3A,0,HCN4,0,0.962,Pathway,Neuronal System
RAB3A,0,GRIK5,0,0.962,Pathway,Neuronal System
RAB3A,0,GRIK5,0,0.962,Pathway,Transmission across Chemical Synapses
RAB3A,0,KCNN3,0,0.961,Pathway,Neuronal System
RAB3A,0,KCNK13,0,0.961,Pathway,Neuronal System
RAB3A,0,GRIK3,0,0.961,Pathway,Neuronal System
RAB3A,0,GRIK3,0,0.961,Pathway,Transmission across Chemical Synapses
RAB3A,0,RPS6KA6,0,0.961,Pathway,Neuronal System
RAB3A,0,RPS6KA6,0,0.961,Pathway,Transmission across Chemical Synapses
RAB3A,0,HCN3,0,0.961,Pathway,Neuronal System
RAB3A,0,CACNG4,0,0.961,Pathway,Neuronal System
RAB3A,0,CACNG4,0,0.961,Pathway,Transmission across Chemical Synapses
RAB3A,0,TSC2,0,0.961,Pathway,BDNF signaling pathway
RAB3A,0,SLC6A3,0,0.96,Pathway,Neuronal System
RAB3A,0,SLC6A3,0,0.96,Pathway,Transmission across Chemical Synapses
RAB3A,0,CFL1,0,0.96,Pathway,BDNF signaling pathway
RAB3A,0,NTRK2,1,0.96,Pathway,BDNF signaling pathway
RAB3A,0,GABRB2,1,0.96,Pathway,Neuronal System
RAB3A,0,GABRB2,1,0.96,Pathway,Transmission across Chemical Synapses
RAB3A,0,GRIN2B,1,0.959,Pathway,Neuronal System
RAB3A,0,GRIN2B,1,0.959,Pathway,Transmission across Chemical Synapses
RAB3A,0,GRIN2B,1,0.959,Pathway,BDNF signaling pathway
RAB3A,0,DLG4,1,0.959,Pathway,Neuronal System
RAB3A,0,DLG4,1,0.959,Pathway,Transmission across Chemical Synapses
RAB3A,0,KCNB2,0,0.959,Pathway,Neuronal System
