Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
TCF20,0,TIMP4,0,0.958,Pathway,Matrix Metalloproteinases
TCF20,0,TIMP3,0,0.956,Pathway,Matrix Metalloproteinases
TCF20,0,MMP26,0,0.956,Pathway,Matrix Metalloproteinases
TCF20,0,MMP9,0,0.956,Pathway,Matrix Metalloproteinases
TCF20,0,MMP27,0,0.955,Pathway,Matrix Metalloproteinases
TCF20,0,MMP8,0,0.954,Pathway,Matrix Metalloproteinases
TCF20,0,MMP3,0,0.954,Pathway,Matrix Metalloproteinases
TCF20,0,TIMP2,0,0.954,Pathway,Matrix Metalloproteinases
TCF20,0,MMP15,0,0.954,Pathway,Matrix Metalloproteinases
TCF20,0,MMP24,0,0.954,Pathway,Matrix Metalloproteinases
TCF20,0,MMP17,0,0.953,Pathway,Matrix Metalloproteinases
TCF20,0,MMP28,0,0.953,Pathway,Matrix Metalloproteinases
TCF20,0,MMP21,0,0.952,Pathway,Matrix Metalloproteinases
TCF20,0,MMP2,0,0.952,Pathway,Matrix Metalloproteinases
TCF20,0,MMP19,0,0.951,Pathway,Matrix Metalloproteinases
TCF20,0,MMP16,0,0.951,Pathway,Matrix Metalloproteinases
TCF20,0,MMP13,0,0.949,Pathway,Matrix Metalloproteinases
TCF20,0,MMP23B,0,0.948,Pathway,Matrix Metalloproteinases
TCF20,0,MMP25,0,0.947,Pathway,Matrix Metalloproteinases
TCF20,0,MMP1,0,0.947,Pathway,Matrix Metalloproteinases
