Sender,Sender Label,Receiver,Receiver Label,Importance,Edge Type,Pathways
RALGAPB,0,AP1S2,0,0.866,Pathway,Membrane Trafficking
RALGAPB,0,NAPA,0,0.85,Pathway,Membrane Trafficking
RALGAPB,0,FTL,0,0.842,Pathway,Membrane Trafficking
RALGAPB,0,AP4E1,0,0.839,Pathway,Membrane Trafficking
RALGAPB,0,NECAP1,1,0.836,Pathway,Membrane Trafficking
RALGAPB,0,AP1G1,1,0.833,Pathway,Membrane Trafficking
RALGAPB,0,DNAJC6,1,0.832,Pathway,Membrane Trafficking
RALGAPB,0,CALM2,0,0.83,Pathway,Membrane Trafficking
RALGAPB,0,CALM2,0,0.83,Pathway,Translocation of GLUT4 to the plasma membrane
RALGAPB,0,DNASE2,0,0.829,Pathway,Membrane Trafficking
RALGAPB,0,CHMP2B,0,0.828,Pathway,Membrane Trafficking
RALGAPB,0,OCRL,1,0.827,Pathway,Membrane Trafficking
RALGAPB,0,DNM1,1,0.824,Pathway,Membrane Trafficking
RALGAPB,0,PUM1,1,0.823,Pathway,Membrane Trafficking
RALGAPB,0,M6PR,0,0.823,Pathway,Membrane Trafficking
RALGAPB,0,COPG1,0,0.822,Pathway,Membrane Trafficking
RALGAPB,0,VAMP2,1,0.821,Pathway,Membrane Trafficking
RALGAPB,0,VAMP2,1,0.821,Pathway,Translocation of GLUT4 to the plasma membrane
RALGAPB,0,GJC2,0,0.82,Pathway,Membrane Trafficking
RALGAPB,0,SEC23A,0,0.819,Pathway,Membrane Trafficking
RALGAPB,0,CALM3,0,0.818,Pathway,Membrane Trafficking
RALGAPB,0,CALM3,0,0.818,Pathway,Translocation of GLUT4 to the plasma membrane
RALGAPB,0,KIFAP3,0,0.818,Pathway,Membrane Trafficking
RALGAPB,0,KIFAP3,0,0.818,Pathway,Translocation of GLUT4 to the plasma membrane
